	group	unnamed: 1	questions	answer
0	q1	slovem	co je dusevni vlastnictvi?; co znamena dusevni vlastnictvi? dusevni vlastnictvi je?; definice dusevniho vlastnictvi; jak definovat dusevni vlastnictvi; co predstavuje dusevni vlastnictvi?	"dusevni vlastnictvi zahrnuje prava k predmetum nehmotne povahy (nehmotnym statkum), ktere clovek vytvoril svoji tvurci dusevni cinnosti. v prumyslove oblasti jsou jimi napriklad vynalezy, uzitne vzory, prumyslove vzory, ochranne znamky, zemepisna oznaceni, oznaceni puvodu (prava k prumyslovemu vlastnictvi). 

dale sem patri prava vztahujici se k autorskym dilum, napriklad literarnim, grafickym, architektonickym, vytvarnym a hudebnim. za dilo se rovnez povazuje pocitacovy program, pripadne databaze, pokud jsou autorovym vlastnim dusevnim vytvorem. do teto oblasti patri i prava souvisejici s pravem autorskym, jako jsou prava vykonnych umelcu, nakladatelu, vyrobcu zaznamu a podobne (prava autorska a souvisejici).

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
1		hlasem	co je dusevni vlastnictvi?; co znamena dusevni vlastnictvi? dusevni vlastnictvi je?; definice dusevniho vlastnictvi?; jak definovat dusevni vlastnictvi?; co predstavuje dusevni vlastnictvi? rekni mi, co je dusevni vlastnictvi.	
2	q2	slovem	ochrana predmetu technickeho (charakteru | typu); ochrana technickych reseni; jak chranit technicke reseni?; zpusob ochrany predmetu technickeho (charakteru | typu); zpusob ochrany (technickych reseni | technickeho reseni); jak zajistit (technicke reseni | technicka reseni)?; moznosti ochrany predmetu technickeho (charakteru | typu); moznosti ochrany (technickeho reseni | technickych reseni);	"technicke reseni lze chranit formou patentu na vynalez, pripadne zapsaneho uzitneho vzoru, podanim prihlasky vynalezu nebo uzitneho vzoru, u uradu prumysloveho vlastnictvi, a zaplaceni spravniho poplatku. princip teto ochrany spociva v tom, ze stat prostrednictvim uradu prumysloveho vlastnictvi poskytne prihlasovateli vylucne pravo k predmetu ochrany s tim, ze chranene reseni bude zverejneno.

pokud vlastnik reseni nechce, aby pro neho vyznamne reseni nebo poznatky byly zverejneny, musi je utajit. k utajeni poznatku a znalosti je dulezite zvolit vhodna opatreni: omezit pristup k reseni jen duveryhodnym osobam, ktere podepsaly dohodu o utajovani. pri teto forme ochrany existuje vzdy urcite riziko vyzrazeni. v takovem pripade utajene poznatky prestavaji byt obchodnim tajemstvim a stavaji se obecne znamymi a v zasade tak volnymi k vyuziti.

pokud vlastnik reseni nema zajem na zajisteni vlastni prumyslove-pravni ochrany a nechce, aby ochrana shodneho reseni a vylucne pravo k nemu nebyly poskytnuty treti osobe nebo konkurenci, musi reseni kvalifikovane zverejnit, napriklad v casopise nebo verejne prednasce. vzhledem k tomuto zverejneni se reseni stane stavem techniky a nebude tedy splnovat podminky pro poskytnuti prumyslove-pravni ochrany.

pokud si vlastnik nezajisti nekterou z uvedenych forem ochrany, musi pocitat s tim, ze shodne reseni muze vyuzivat kdokoliv, aniz je mozne mu v tom ucinne branit.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
3		hlasem	rekni mi, jak chranit predmety technickeho (charakteru | typu); jake jsou moznosti ochrany (technickych reseni | technickeho reseni); jak chranit technicke reseni?; jake jsou zpusoby ochrany predmetu technickeho (charakteru | typu); zpusob ochrany (technickych reseni | technickeho reseni); jak zajistit technicke reseni?; jake jsou moznosti ochrany predmetu technickeho (charakteru | typu); jake jsou moznosti ochrany (technickeho reseni | technickych reseni); rekni mi jak chranit predmety technickeho (charakteru | typu).	
4	q3	slovem	pomoc s (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni); kdo pomuze s (prihlaskou | prihlasovanim) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)?; kdo poskytne pomoc s (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)?; pomuzete mi s (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)? na koho se muzu obratit s (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)? na koho se obratit s (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)?	"priprava a zpracovani prihlasek k predmetum prumyslove ochrany predpoklada specificke znalosti a zkusenosti. predevsim v pripade prihlasek vynalezu se doporucuje, aby byly zpracovany odbornikem, jelikoz nespravne zpracovane prihlasky vynalezu a zejmena jejich patentove naroky mohou mit pro prihlasovatele negativni nasledky, zejmena pokud jde o ziskany rozsah ochrany.

pomoc, pripadne odborne zastoupeni, mohou nalezt prihlasovatele u patentovych zastupcu a u advokatnich kancelari. vice informaci o zastupovani je mozne nalezt na webovych strankach komory patentovych zastupcu a ceske advokatni komory.

zakladni informace spojene s problematikou ochrany technickych reseni ci s rizenim o prihlaskach vynalezu a uzitnych vzoru, stejne jako informace spojene se znamkopravni problematikou, s rizenim o prihlaskach ochrannych znamek ci zatridovanim vyrobku a sluzeb pro ucely znamkopravniho rizeni vam mohou poskytnout pracovnici informacniho strediska uradu prumysloveho vlastnictvi.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-. komora patentovych zastupcu zde: https://www.patzastupci.cz/. ceska advokatni komora zde: https://www.cak.cz/. helpdesk upv zde: https://upv.gov.cz/sluzby/informacni-sluzby/informacni-stredisko.  "
5		hlasem	pomuzes mi (zaregistrovat | podat prihlasku) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)?; kdo mi pomuze s (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni?); pomuzete mi s (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)? na koho se muzu obratit s (registraci | prihlaskou) (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)? na koho se obratit s (registraci | prihlaskou) (registraci | prihlaskou) (vynalezu | patentu | uzitneho vzoru | prumysloveho vzoru | ochranne znamky | prumysloveho designu | ochranneho oznaceni)?	
6	q4	slovem	"vymahani prav z prumysloveho vlastnictvi; vymahani prav; jak vymahat (prava | pravo); co je to vymahani prava z prumysloveho vlastnictvi?; co znamena vymahani prava z prumysloveho vlastnictvi?; jak vymahat prava z prumysloveho vlastnictvi?; co delat v pripade poruseni prav prumysloveho vlastnictvi? co delat v pripade poruseni prav?
"	"v pripade neopravneneho zasahu do prav z prumysloveho vlastnictvi - patentu, zapsaneho uzitneho nebo prumysloveho vzoru je mozne se domahat u soudu zejmena toho, aby ruseni prava bylo zakazano a aby nasledky poruseni byly odstraneny. pokud byla v dusledku porusovani prav zpusobena skoda, ma poskozeny pravo na jeji nahradu.

vymahat prava z prumysloveho vlastnictvi je opravnen vlastnik nebo majitel prava, pripadne dalsi opravnena osoba podle zakona o vymahani prav z prumysloveho vlastnictvi.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
7		hlasem	"co mam delat v pripade poruseni (prava | prav)? co mam delat v pripade poruseni prava prumysloveho vlastnictvi? rekni mi jak vymahat prava z prumysloveho vlastnictvi; jak vymahat prava; co je to vymahani prava? co je to vymahani prava z prumysloveho vlastnictvi?; co znamena vymahani (prav | prava) z prumysloveho vlastnictvi?; jak vymahat prava z prumysloveho vlastnictvi?; jak postupovat kdyz bylo poruseno pravo prumysloveho vlastnictvi?
"	
8	q5	slovem	spory; spor; prosazovani prav; prosazovani prav z prumysloveho vlastnictvi; pomoc ve (sporu | sporech); co delat ve sporu?; (pomuzes | pomuzete) mi s prosazovanim prav?; jak postupovat pri (sporu | sporech)?; poskytujete pomoc pri (prosazovani prav | prosazovani prav z prumysloveho vlastnictvi | ve sporech | ve sporu)?; jak probiha prosazovani prav z prumysloveho vlastnictvi?; jak probiha prosazovani prav? pomahate se (zajistenim | prosazovanim) prav?; pomahate se (zajistenim | prosazovanim) prav z prumysloveho vlastnictvi? muze (urad | upv) pomoci (s prosazovanim prav | ve sporech | ve sporu)? pomuze (urad | upv | vy) ve sporech? muzu se na vas obratit v prosazovani svych prav? jak mi pomuzete s prosazovanim prav? pomuzete mi ve sporu? chci vedet jeslti mi pomuzete pri (prosazovani prav | ve sporu); jak se muzu branit (ve sporu | v prosazovani prav)?	"pokud se jedna o spor nebo nejasnosti o vyuzivani patentu ci zapsaneho uzitneho vzoru, opravnuji pravni predpisy urad prumysloveho vlastnictvi k tomu, aby rozhodl, zda urcite technicke reseni, napriklad konkurencni vyrobek, spada do rozsahu patentu nebo zapsaneho uzitneho vzoru. rozhodnuti urad vyda na zaklade zadosti o urceni, podane bud majitelem patentu ci uzitneho vzoru, nebo osoby, ktera osvedci pravni zajem. rozhodnuti o urceni je mozne v pripade sporu predlozit soudu jako dukaz, soud vsak timto rozhodnutim neni vazan.

urcitou moznost v ramci prosazovani prav pro treti osoby predstavuje navrh na zruseni patentu v pripade, ze se dodatecne zjisti, ze chraneny vynalez nesplnuje podminky patentovatelnosti. castecne nebo uplne zruseni patentu lze dosahnout na zaklade zadosti, kterou muze u uradu prumysloveho vlastnictvi podat kdokoliv. podobne je takto mozne postupovat i u vymazu uzitneho a prumysloveho vzoru.

v pripade ochrannych znamek je mozne ve lhute tri mesicu od zverejneni prihlasovaneho oznaceni v zakonem uvedenych pripadech podat namitky proti zapisu oznaceni do rejstriku ochrannych znamek. po zapisu ochranne znamky do rejstriku je mozne u uradu podat navrh na zruseni ochranne znamky ci navrh na prohlaseni ochranne znamky za neplatnou.

k zajisteni ochrany vasich prav z prumysloveho vlastnictvi se doporucuje sledovat pravidelne vestnik uradu, kde jsou pravidelne zverejnovany informace o prihlaskach i poskytnutych pravech - tj. o patentech, zapsanych uzitnych a prumyslovych vzorech i ochrannych znamkach, platnych na nasem uzemi.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-. vestnik zde: https://isdv.upv.cz/webapp/resdb.vestnik.seznam"
9		hlasem	spory; spor; prosazovani prav; prosazovani prav z prumysloveho vlastnictvi; pomoc ve (sporu | sporech); co delat ve sporu?; rekni mi co delat ve sporu; rekni mi jeslti poskytujete pomoc pri sporech; (pomuzes | pomuzete) mi s prosazovanim prav? jak postupovat pri (sporu | sporech)? poskytujete pomoc pri (prosazovani prav  | prosazovani prav z prumysloveho vlastnictvi | ve sporech | ve sporu)? jak probiha prosazovani prav z prumysloveho vlastnictvi?; jak probiha prosazovani prav? pomahate se (zajistenim | prosazovanim) prav?; pomahate se (zajistenim | prosazovanim) prav z prumysloveho vlastnictvi? muze (urad | urad | upv) pomoci (s prosazovanim prav | ve sporech | ve sporu)? pomuze (urad | urad | upv | vy) ve sporech? muzu se na vas obratit v prosazovani svych prav? jak mi pomuzete s prosazovanim prav? pomuzete mi ve sporu? chci vedet jeslti mi pomuzete pri (prosazovani prav | ve sporu); jak se muzu branit (ve sporu | v prosazovani prav)?	
10	q6	slovem	(porusovani | poruseni) prav z dusevniho vlastnictvi; (kam | na koho) se obratit v pripade poruseni prav z dusevniho vlastnictvi?; kde hledat pomoc (pri | v pripade) poruseni prav dusevniho vlastnictvi?; jak vymahat prava z dusevniho vlastnictvi? na koho se obratit s vymahanim prav z dusevniho vlastnictvi? kdo mi pomuze s vymahanim prav z dusevniho vlastnictvi? kdo mi pomuze pri poruseni prav z dusevniho vlastnictvi? jak chranit prava dusevniho vlastnictvi?	"

v pripade, ze zjistite porusovani prav z dusevniho vlastnictvi, je mozne se obratit na nektere verejnopravni instituce. problematikou porusovani prav z dusevniho vlastnictvi se zabyva ceska obchodni inspekce, ktera kontroluje, zda nedochazi ke klamani spotrebitele porusovanim prav dusevniho vlastnictvi. kontrolni cinnosti v teto oblasti provadi take statni zemedelske a potravinarska inspekce, zivnostenske urady a statni ustav pro kontrolu leciv. celni sprava ceske republiky se zapojuje do boje proti padelani a piratstvi. celni organy jsou opravneny zasahnout vuci zbozi, ktere je podezrele z porusovani prav dusevniho vlastnictvi a umoznit majitelum dotcenych prav jejich ochranu. povinnost plnit ukoly pri ochrane prav k dusevnimu vlastnictvi ma take policie cr.

prava z dusevniho vlastnictvi lze vymoci i soukromopravni cestou prostrednictvim soudu, pripadne i rozhodcu.

nez vlastnik prava zvoli soudni cestu, mel by vyuzit vsechny moznosti mimosoudni obrany proti porusovani prav. nejprve nejlepe formou doporuceneho dopisu oslovit domneleho porusovatele a zahajit s nim jednani. soucasti jednani muze byt take nabidka licence.

pokud uvedenych moznosti nevyuziji nebo nedojdou k oboustranne dohode, nezbyva nez vyuzit moznosti, ktere poskytuji pravni predpisy, napriklad zakon o vymahani prav z prumysloveho vlastnictvi. v takovem pripade je vhodne vyuzit sluzeb advokata ci patentoveho zastupce. v pripade vznikle skody muze opravnena osoba pozadovat jeji nahradu nebo nahradu za bezduvodne obohacovani, pripadne primerene zadostiucineni.

vymahat pravo z dusevniho vlastnictvi je mozne take zalobou proti nekale soutezi dle obcanskeho zakoniku.

pokud dojde k umyslnemu poruseni prav z prumysloveho vlastnictvi, muze se jednat o trestny cin, za ktery je mozne ulozit trest odneti svobody, penezity trest nebo propadnuti veci.

v pripade, ze protipravni jednani nema charakter trestneho cinu, je mozny postih v ramci prestupkoveho zakona. za takovy prestupek mohou obecni urady ulozit pokutu, trest propadnuti veci, pripadne trest zakazu cinnosti.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
11		hlasem	(porusovani | poruseni) prav z dusevniho vlastnictvi; (kam | na koho) se obratit pri poruseni prav z dusevniho vlastnictvi?; kde hledat pomoc (pri | v pripade) poruseni prav dusevniho vlastnictvi?; jak vymahat prava z dusevniho vlastnictvi? na koho se obratit s vymahanim prav z dusevniho vlastnictvi? kdo mi pomuze s vymahanim prav z dusevniho vlastnictvi? kdo mi pomuze pri poruseni prav z dusevniho vlastnictvi? jak chranit prava dusevniho vlastnictvi?	
12	q7	slovem	lhuta pro podani namitek; lhuta pro podani namitek proti zapisu; lhuta pro podani namitek proti zapisu prihlasovaneho oznaceni do rejstriku ochrannych znamek; jaka je lhuta pro podani namitek?; zapis prihlasovaneho oznaceni; zapis prihlasovaneho oznaceni do rejstriku ochrannych znamek; lze prodlouzit lhutu pro podani namitek? do kdy muzu podat namitku proti zapisu?	"lhuta k podani namitek proti zapisu prihlasovaneho oznaceni do rejstriku ochrannych znamek trva ze zakona o ochrannych znamkach tri mesice od data zverejneni prihlasky ochranne znamky ve vestniku uradu a nelze ji prodlouzit a ani jeji zmeskani prominout.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
13		hlasem	lhuta pro podani namitek; lhuta pro podani namitek proti zapisu; lhuta pro podani namitek proti zapisu prihlasovaneho oznaceni do rejstriku; podani namitek; jaka je lhuta pro podani namitek?; rekni mi jaka je uhuta k podani namitek; zapis prihlasovaneho oznaceni; zapis prihlasovaneho oznaceni do rejstriku ochrannych znamek; lze prodlouzit lhutu pro podani namitek? do kdy muzu podat namitku proti zapisu? muzu podat namitku proti zapisu?	
14	q8	slovem	namitky. namitka. namitkove rizeni. kdo muze podat (namitky | namitku)?; kdo ma pravo vznest (namitku | namitky)?; muzu podat namitku proti zapisu do rejstriku? jak probiha namitkove rizeni? muzu podat namitku proti zapisu?	"namitky mohou podat osoby vymezene v ustanoveni 7 zakona o ochrannych znamkach. nejcasteji se jedna o vlastnika ochranne znamky, uzivatele nezapsaneho ci jineho oznaceni nebo osoby, jejichz zakonem chranene pravo muze byt prihlaskou ochranne znamky dotceno.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
15		hlasem	namitky. namitka. namitkove rizeni. kdo muze podat (namitky | namitku)?; kdo ma pravo vznest (namitku | namitky)?; muzu podat namitku proti zapisu do rejstriku? rekni mi kdo muze podat namitku proti zapisu do rejstriku? jak probiha namitkove rizeni? jak podat namitku? 	
16	q9	slovem	rozsireni namitky. nove dukazy pri namitce. muzu (namitku | namitky) doplnit (novymi dukazy | dokumentaci | oduvodnenim)? lze (namitku | namitky) doplnit (novymi dukazy | dokumentaci)? lze namitku rozsirit? je mozne rozsirit namitku? 	"namitky je treba podat, a zaplatit prislusny spravni poplatek, ve lhute 3 mesicu od data zverejneni prihlasky ochranne znamky, proti jejimuz zapisu smeruji. v teto lhute lze doplnovat dukazy ci rozsirit namitkove duvody. k doplneni namitek a k dukazum predlozenym na jejich podporu po lhute 3 mesicu od zverejneni prihlasky se neprihlizi, jestlize se nejedna o takove dukazy, ktere by mely primou vazbu na dukazy predlozene v zakonem stanovene lhute.

https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
17		hlasem	rozsireni namitky. nove dukazy pri namitce. muzu (namitku | namitky) doplnit (novymi dukazy | dokumentaci | oduvodnenim)? lze (namitku | namitky) doplnit (novymi dukazy | dokumentaci | oduvodnenim)? lze namitku rozsirit? je mozne rozsirit namitku? rekni mi, jeslti muzu podat nove dukazy pri namitce. rekni mi, jeslti muzu rozsirit namitku.  	
18	q10	slovem	obdrzeni namitky. co delat kdyz (dostanu | obdrzim) namitku. jak postupovat kdyz (dostanu | obdrzim) namitku. jak postupovat pri obdrzeni namitky. (dostal | dostala | dostali) jsme namitky, co (mam | mame) delat? (dostal | dostala | dostali) jsme namitky, jak postupovat? (dostal | dostala | dostali) jsme namitky, co bude nasledovat? 	"v pripade obdrzeni namitky je treba zhodnotit jejich opodstatnenost, a nasledne formulovat vas nazor v pisemnem vyjadreni a podporit ho vhodnymi doklady. toto vyjadreni je mozne samostatne vypracovat nebo tim poverit sveho pravniho zastupce (nejcasteji advokata nebo patentoveho zastupce).

spolecne s namitkami je prihlasovateli dorucen postupovaci dopis uradu, v nemz je stanovena lhuta k podani vyjadreni. tuto lhutu je mozno na zaklade zpoplatnene zadosti prodlouzit. v pripade, ze se k namitkam ve stanovene lhute prihlasovatel nevyjadri, rozhodne urad o namitkach podle obsahu spisu.

v ramci predmetu sporu se lze tez pokusit o nalezeni smirneho reseni formou dohody s namitajicim. k dalsim moznostem reseni sporu lze napriklad zaradit omezeni prihlasovaneho seznamu o namitkami dotcene vyrobky nebo sluzby, cimz odpadne duvod podani namitek. toto omezeni lze provest kdykoliv a nelze ho vzit zpet.

pokud je prihlaska ochranne znamky napadana jen v urcitem rozsahu vyrobku nebo sluzeb, muze prihlasovatel svou prihlasku ochranne znamky rozdelit a namitkami dotcene vyrobky nebo sluzby vyclenit do samostatne prihlasky ochranne znamky.

v neposledni rade muze prihlasovatel vzit svou prihlasku ochranne znamky kdykoliv zpet. v takovem pripade se rizeni o prihlasce ochranne znamky a nasledne i rizeni o namitkach zastavi (a spravni poplatek za podani prihlasky ochranne znamky se nevraci).

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
19		hlasem	obdrzeni namitky. co delat kdyz (dostanu | obdrzim) namitku. jak postupovat kdyz (dostanu | obdrzim) namitku. jak postupovat pri obdrzeni namitky. (dostal | dostala | dostali) jsme namitky, co (mam | mame) delat? (dostal | dostala | dostali) jsme namitky, jak postupovat? (dostal | dostala | dostali) jsme namitky, co bude nasledovat? rekni mi co mam delat kdyz (dostanu | obdrzim) namitku. rekni mi jak mam postupovat kdyz (dostanu | obdrzim) namitku. 	
20	q11	slovem	ochranna znamka. ochranna znamka s dobrym jmenem. dobre jmeno. renome. co je ochranna znamka s (dobrym jmenem | dobrou povesti | renome) ?; co znamena (dobrym jmenem | dobrou povesti | renome)?; definice ochranne znamky s (dobrym jmenem | dobrou povesti | renome);	"dobre jmeno je u zapsane ochranne znamky vyjadrenim toho, ze verejnost tuto ochrannou znamku v dusledku jejiho uzivani zna a spojuje ji s dobrymi vlastnostmi, ktere od vyrobku nebo sluzeb takto oznacenych ocekava. to, ze je ochranna znamka znama siroke verejnosti, ze je spojovana v podvedomi spotrebitelu s tradicne dobrymi vlastnostmi vyrobku nebo urovni poskytovanych sluzeb, jsou skutecnosti, ze kterych vyplyva, ze ochranna znamka ma dobre jmeno. 

vybudovat si dobre jmeno lze jen radnym uzivanim ochranne znamky v souvislosti s vyrobky nebo sluzbami, na ktere se zapis ochranne znamky vztahuje. protoze jde o vlastnost ochranne znamky, kterou ji pripisuji spotrebitele, neni nemenna v case, a je nutno ji prokazovat v kazdem dalsim rizeni.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
21		hlasem	ochranna znamka. ochranna znamka s dobrym jmenem. dobre jmeno. renome. co je ochranna znamka s (dobrym jmenem | dobrou povesti | renome) ?; co znamena (dobrym jmenem | dobrou povesti | renome)?; definice ochranne znamky s (dobrym jmenem | dobrou povesti | renome); rekni mi co je ochranna znamka s (dobrym jmenem | dobrou povesti | renome).	
22	q12	slovem	vseobecne znama znamka. co je vseobecne znama znamka?; co znamena vseoobecne znama znamka?; definice vseobecne zname znamky.	"vseobecne znamou znamkou je takove oznaceni, ktere svou ochranu ziskalo nikoliv zapisem do rejstriku ochrannych znamek, ale ziskanim vseobecne znamosti v dusledku sveho uzivani. je to znamka natolik silna, ze se vzila pro vyrobky nebo sluzby sveho vlastnika v prislusnem okruhu verejnosti natolik, ze ma rozlisovaci zpusobilost, a to i presto, ze nebyla formalne zapsana do rejstriku ochrannych znamek. tuto skutecnost je rovnez treba prokazovat vzdy v konkretnim rizeni. jedna se o znamku nezapsanou pro uzemi statu, ve kterem je namitana, bez ohledu na to, zda je ci neni zapsana v jinem state.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
23		hlasem	ochranna znamka. vseobecne znama znamka. co je vseobecne znama znamka?; co znamena vseoobecne znama znamka?; definice vseobecne zname znamky. rekni mi co je vseobecne znama znamka. jaka je definice vseobecne zname znamky?	
24	q13	slovem	mistni dosah. co (je | znamena) mistni dosah? co (je | znamena) mistni dosah nezapsaneho ci jineho oznaceni? definice mistniho dosahu? jaka je definice mistniho dosahu?  	"mistni dosah nelze vykladat pouze ve smyslu uzemnim, tedy jako geografickou oblast kde bylo oznaceni uzivano, ale hlavne ve smyslu rozsahu uzivani nezapsaneho ci jineho oznaceni v obchodnim styku, co do jeho kvantity a kvality. jedna se napriklad o podil vyrobku nebo sluzeb opatrenych nezapsanym ci jinym oznacenim v danem segmentu trhu, o delku i aktivitu pusobeni na trhu, nebo o celkove ekonomicke postaveni nezapsaneho ci jineho oznaceni na trhu. prekonani mistniho dosahu lze konstatovat na zaklade relevantnich dokladu predlozenych v dostatecnem mnozstvi.

vice na https://upv.gov.cz/o-uradu/nejcastejsi-dotazy-faq-"
25		hlasem	mistni dosah. co (je | znamena) mistni dosah? co (je | znamena) mistni dosah nezapsaneho ci jineho oznaceni? definice mistniho dosahu? jaka je definice mistniho dosahu? rekni mi, co je mistni dosah? rekni mi jaka je definice mistniho dosahu?	
